country,mortality_ratio,income,population,region
Uganda,387,2108.8604,37477356,Africa
Afghanistan,701,2108.714,33753500,Asia
Mali,620,2060.0986,18112910,Africa
Guinea,699,2053.1116,11626003,Africa
Kiribati,97,2038.4865,116717,Oceania
Gambia,625,1905.823,2253137,Africa
Togo,398,1881.9052,7473232,Africa
Burkina Faso,343,1862.8547,18718022,Africa
Rwanda,275,1844.7169,11642963,Africa
Ethiopia,446,1750.6727,102471896,Africa
Guinea-Bissau,694,1748.0292,1788931,Africa
Liberia,691,1581.055,4612330,Africa
Madagascar,363,1508.3744,24850912,Africa
Malawi,370,1440.8423,16938944,Africa
Mozambique,318,1271.9619,26843252,Africa
Niger,555,1124.41,20128132,Africa
Democratic Republic of Congo,490,1032.5719,78656904,Africa
Somalia,855,1029.6992,13763909,Africa
Central African Republic,912,795.03705,4819341,Africa
Burundi,568,781.5793,10727153,Africa
